trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.5, 'e': 0.9084203817511969}",35,0,-243.49275125831852,"{0: 21, 1: 4, 2: 3, 3: 3, 4: 4}",0
97,False,"{'a': 0.5, 'e': 0.9075119613694457}",25,0,-97.88641640942843,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.9066044494080763}",30,12,-46.518937698198826,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.9056978449586682}",25,0,-82.86964638140445,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.9047921471137096}",35,0,-202.68004832618143,"{0: 22, 1: 2, 2: 6, 3: 2, 4: 3}",0
101,False,"{'a': 0.5, 'e': 0.9038873549665959}",30,0,-111.56219776586343,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.9029834676116293}",25,18,-8.968024699096617,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.9020804841440176}",20,0,-154.70367741552394,"{0: 12, 1: 0, 2: 3, 3: 3, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.9011784036598737}",20,0,-56.962956428135655,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.9002772252562138}",20,0,-116.87790411638017,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.8993769480309576}",30,0,-77.55733746901177,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.8984775710829266}",35,0,-118.42303992775113,"{0: 22, 1: 3, 2: 9, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.8975790935118436}",20,0,-77.27407124112304,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.8966815144183318}",25,2,-114.05851647815392,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 2}",1
110,False,"{'a': 0.5, 'e': 0.8957848329039134}",35,0,-146.4555896123371,"{0: 22, 1: 2, 2: 6, 3: 5, 4: 0}",0
