trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
746,False,"{'a': 0.5, 'e': 0.47408281903197536}",25,0,-38.24605420624193,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
747,False,"{'a': 0.5, 'e': 0.47360873621294336}",20,0,-19.363853777954564,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
748,False,"{'a': 0.5, 'e': 0.4731351274767304}",30,0,-84.03772981860286,"{0: 24, 1: 1, 2: 1, 3: 3, 4: 1}",0
749,False,"{'a': 0.5, 'e': 0.4726619923492537}",30,0,-68.85562121366235,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
750,False,"{'a': 0.5, 'e': 0.47218933035690447}",20,0,-149.10052682722838,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 2}",0
751,False,"{'a': 0.5, 'e': 0.47171714102654755}",30,10,-8.348115951772991,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
752,False,"{'a': 0.5, 'e': 0.471245423885521}",30,19,17.45761194068041,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
753,False,"{'a': 0.5, 'e': 0.47077417846163544}",25,0,-0.7651059248728302,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",1
754,False,"{'a': 0.5, 'e': 0.4703034042831738}",20,0,3.679896752132335,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
755,False,"{'a': 0.5, 'e': 0.46983310087889063}",20,7,5.007139911896763,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
756,False,"{'a': 0.5, 'e': 0.46936326777801174}",20,0,-41.00320164341571,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
757,False,"{'a': 0.5, 'e': 0.4688939045102337}",20,0,-79.20735259991744,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
758,False,"{'a': 0.5, 'e': 0.4684250106057235}",20,0,15.199302915025891,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
759,False,"{'a': 0.5, 'e': 0.46795658559511777}",20,0,-63.43689507918123,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
760,False,"{'a': 0.5, 'e': 0.46748862900952265}",25,14,12.925682572831729,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
761,False,"{'a': 0.5, 'e': 0.4670211403805131}",35,27,3.2769211419457345,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
762,False,"{'a': 0.5, 'e': 0.4665541192401326}",25,0,-70.81295390024862,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
763,False,"{'a': 0.5, 'e': 0.4660875651208925}",20,0,-29.453683995844578,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
764,False,"{'a': 0.5, 'e': 0.4656214775557716}",20,2,4.529746582809295,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
765,False,"{'a': 0.5, 'e': 0.46515585607821586}",25,0,-38.86348089435171,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
766,False,"{'a': 0.5, 'e': 0.46469070022213765}",20,0,-43.525590986431695,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
767,False,"{'a': 0.5, 'e': 0.4642260095219155}",30,0,-57.589846013249726,"{0: 25, 1: 0, 2: 2, 3: 2, 4: 1}",0
768,False,"{'a': 0.5, 'e': 0.4637617835123936}",25,7,-78.64795032370782,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 1}",1
769,False,"{'a': 0.5, 'e': 0.46329802172888124}",20,10,18.06015680958656,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
770,False,"{'a': 0.5, 'e': 0.46283472370715234}",20,0,-36.9473860051649,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
771,False,"{'a': 0.5, 'e': 0.46237188898344517}",25,0,22.255256160160595,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
772,False,"{'a': 0.5, 'e': 0.4619095170944617}",20,7,-40.55545079420786,"{0: 7, 1: 4, 2: 1, 3: 1, 4: 0}",1
773,False,"{'a': 0.5, 'e': 0.46144760757736725}",25,0,-145.0989233722475,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
774,False,"{'a': 0.5, 'e': 0.46098615996978987}",30,3,-43.4375320529174,"{0: 21, 1: 3, 2: 2, 3: 0, 4: 1}",1
775,False,"{'a': 0.5, 'e': 0.46052517380982005}",20,0,-48.549843772303944,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
776,False,"{'a': 0.5, 'e': 0.4600646486360102}",30,5,-92.18113348310223,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",1
777,False,"{'a': 0.5, 'e': 0.4596045839873742}",25,14,-4.7151389150475564,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
778,False,"{'a': 0.5, 'e': 0.45914497940338683}",35,7,-59.262236456839716,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 1}",1
779,False,"{'a': 0.5, 'e': 0.4586858344239834}",25,14,16.024945727866797,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
780,False,"{'a': 0.5, 'e': 0.45822714858955943}",30,3,-34.228390989318214,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 0}",1
781,False,"{'a': 0.5, 'e': 0.45776892144096987}",25,0,-16.176306915632633,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
782,False,"{'a': 0.5, 'e': 0.4573111525195289}",30,6,-68.12515592274114,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 1}",1
783,False,"{'a': 0.5, 'e': 0.4568538413670094}",30,12,25.087856477415084,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
784,False,"{'a': 0.5, 'e': 0.4563969875256424}",30,9,-11.91129336499985,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
785,False,"{'a': 0.5, 'e': 0.45594059053811675}",20,0,-89.38331032455656,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
786,False,"{'a': 0.5, 'e': 0.45548464994757865}",20,0,-100.3218943624854,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
787,False,"{'a': 0.5, 'e': 0.45502916529763104}",20,16,6.128587358441953,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
788,False,"{'a': 0.5, 'e': 0.45457413613233344}",20,2,-67.9853210029374,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 2}",1
789,False,"{'a': 0.5, 'e': 0.4541195619962011}",20,16,8.682980660855232,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
790,False,"{'a': 0.5, 'e': 0.4536654424342049}",25,13,9.796250206814152,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
791,False,"{'a': 0.5, 'e': 0.45321177699177073}",30,21,3.919196545062251,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
792,False,"{'a': 0.5, 'e': 0.452758565214779}",25,0,-5.094489318359761,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
793,False,"{'a': 0.5, 'e': 0.4523058066495642}",30,14,9.549241038583927,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
794,False,"{'a': 0.5, 'e': 0.45185350084291465}",25,12,-1.4587282560790542,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
795,False,"{'a': 0.5, 'e': 0.4514016473420717}",20,13,13.265312120910679,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
796,False,"{'a': 0.5, 'e': 0.45095024569472963}",25,10,0.21000544874056182,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
797,False,"{'a': 0.5, 'e': 0.4504992954490349}",25,15,9.775807728966015,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
798,False,"{'a': 0.5, 'e': 0.45004879615358584}",20,0,-65.87469050388948,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
799,False,"{'a': 0.5, 'e': 0.44959874735743227}",25,3,-51.11542663603007,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
800,False,"{'a': 0.5, 'e': 0.4491491486100748}",25,14,-22.441114476440376,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
801,False,"{'a': 0.5, 'e': 0.44869999946146477}",20,5,-27.747424611414868,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
