trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.85, 'e': 0.9985319472573612}",20,0,-82.96964883077968,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
71,False,"{'a': 0.85, 'e': 0.9984890974505379}",25,0,-258.57814177361195,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 5}",0
72,False,"{'a': 0.85, 'e': 0.998445631725472}",30,0,-163.0216140771244,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
73,False,"{'a': 0.85, 'e': 0.998401550108975}",30,0,-140.96877022852587,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
74,False,"{'a': 0.85, 'e': 0.998356852628239}",25,0,-176.8829492043167,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
75,False,"{'a': 0.85, 'e': 0.9983115393108354}",20,0,-107.212927270576,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
76,False,"{'a': 0.85, 'e': 0.9982656101847159}",20,0,-57.17236883489485,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
77,False,"{'a': 0.85, 'e': 0.9982190652782118}",25,0,-176.42887033030445,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
78,False,"{'a': 0.85, 'e': 0.9981719046200344}",25,6,-104.91595056521052,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 2}",1
79,False,"{'a': 0.85, 'e': 0.9981241282392745}",20,0,-184.2240837488442,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
80,False,"{'a': 0.85, 'e': 0.9980757361654035}",20,0,-118.38702861809519,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
81,False,"{'a': 0.85, 'e': 0.9980267284282716}",30,0,-255.50871040732162,"{0: 15, 1: 2, 2: 8, 3: 1, 4: 4}",0
82,False,"{'a': 0.85, 'e': 0.9979771050581093}",20,0,-96.61517806559256,"{0: 13, 1: 1, 2: 1, 3: 5, 4: 0}",0
83,False,"{'a': 0.85, 'e': 0.997926866085527}",35,0,-158.18862322788135,"{0: 23, 1: 3, 2: 5, 3: 2, 4: 2}",0
84,False,"{'a': 0.85, 'e': 0.9978760115415145}",25,0,-141.03954883721565,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
85,False,"{'a': 0.85, 'e': 0.9978245414574415}",20,0,-182.38425989509307,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
86,False,"{'a': 0.85, 'e': 0.9977724558650571}",30,0,-29.672314288904374,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
87,False,"{'a': 0.85, 'e': 0.9977197547964907}",35,0,-118.8534062927219,"{0: 20, 1: 9, 2: 5, 3: 0, 4: 1}",0
88,False,"{'a': 0.85, 'e': 0.9976664382842505}",20,0,-90.50026226426381,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
89,False,"{'a': 0.85, 'e': 0.9976125063612252}",35,0,-108.1039968352503,"{0: 23, 1: 5, 2: 5, 3: 1, 4: 1}",0
90,False,"{'a': 0.85, 'e': 0.9975579590606826}",30,0,-104.43771987791985,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
91,False,"{'a': 0.85, 'e': 0.99750279641627}",20,0,-74.60571734203397,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
92,False,"{'a': 0.85, 'e': 0.9974470184620149}",25,0,-72.14469666409323,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
93,False,"{'a': 0.85, 'e': 0.9973906252323237}",20,0,-36.72906238232955,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
94,False,"{'a': 0.85, 'e': 0.9973336167619825}",20,3,-42.816592849301664,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 0}",1
95,False,"{'a': 0.85, 'e': 0.9972759930861571}",20,0,-67.22703371365505,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
96,False,"{'a': 0.85, 'e': 0.9972177542403927}",35,0,-312.8127586701601,"{0: 19, 1: 6, 2: 2, 3: 2, 4: 6}",0
97,False,"{'a': 0.85, 'e': 0.9971589002606139}",20,0,-178.43414663019914,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
98,False,"{'a': 0.85, 'e': 0.9970994311831248}",20,0,-146.91550105650344,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
99,False,"{'a': 0.85, 'e': 0.997039347044609}",25,0,-202.83338451070577,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
